Official Reg. No. (ORN),Reproduction Status,Cull Reason 1,Cull Reason 2,Cull Decision Reason 1,Cull Decision Reason 2,Cull Date
-1117,Culled,32 Slakt,,,,2/5/2015
-1118,Culled,,,,,
-1119,Culled,35 Högt celltal,,,,2/27/2017
-1120,Culled,,,,,
-1121,Culled,04 Mastit/juverfel,,,,8/16/2017
-1122,Culled,02 Nedsatt fruktsamhet,,,,2/5/2015
-1123,Culled,35 Högt celltal,,,,11/24/2017
-1124,Culled,"18 Svårmjölkad, exteriör",09 Benlidande,,,12/11/2019
-1125,Culled,13 Låg avkastning,04 Mastit/juverfel,,,5/8/2018
-1126,Culled,32 Slakt,,,,2/5/2015
-1127,Culled,32 Slakt,,,,2/5/2015
-1128,Culled,,,,,
-1129,Culled,02 Nedsatt fruktsamhet,,,,11/27/2017
-1130,Culled,04 Mastit/juverfel,,,,2/27/2017
-1131,Culled,11 Kastning,,,,11/24/2017
-1132,Culled,,,,,
-1133,Culled,,,,,
-1134,Culled,05 Juver/spenskada,,,,2/27/2017
-1135,Culled,02 Nedsatt fruktsamhet,,,,3/16/2015
-1136,Culled,02 Nedsatt fruktsamhet,,,,11/27/2017
-1137,Culled,,,,,
-1138,Open,,,,,
-1139,Open,,,,,
-1140,Culled,02 Nedsatt fruktsamhet,,,,1/27/2020
-1141,Culled,Other,04 Mastit/juverfel,,,8/10/2020
-1142,Culled,"18 Svårmjölkad, exteriör",,,,11/1/2018
-1143,Culled,11 Kastning,13 Låg avkastning,,,3/13/2018
-1144,Culled,04 Mastit/juverfel,,,,3/23/2017
-1145,Culled,"52 Avlivad, destruktion",,50 Övrig utgångsorsak,,7/23/2014
-1146,Culled,32 Slakt,,,,10/7/2015
-1147,Culled,17 Annan sjukdom,,,,11/1/2018
-1148,Culled,02 Nedsatt fruktsamhet,,,,10/7/2015
-1149,Culled,09 Benlidande,,,,8/6/2018
-1150,Culled,32 Slakt,,,,10/7/2015
-1151,Culled,02 Nedsatt fruktsamhet,,,,11/27/2017
-1152,Culled,,,,,
-1153,Culled,12 Hög ålder,,,,5/8/2018
-1154,Culled,02 Nedsatt fruktsamhet,,,,11/1/2018
-1155,Culled,02 Nedsatt fruktsamhet,,,,11/27/2017
-1156,Culled,02 Nedsatt fruktsamhet,,,,1/22/2019
-1157,Culled,32 Slakt,,,,12/14/2015
-1158,Culled,02 Nedsatt fruktsamhet,,,,2/14/2018
-1159,Culled,02 Nedsatt fruktsamhet,,,,3/13/2018
-1160,Culled,02 Nedsatt fruktsamhet,,,,8/9/2018
-1161,Culled,35 Högt celltal,13 Låg avkastning,,,2/14/2018
-1162,Pregnant,,,,,
-1163,Bred,,,,,
-1164,Culled,15 Olycksfall,,,,7/25/2014
-1165,,50 Övrig utgångsorsak,,,,7/31/2014
-1165,Culled,08 Klövsjukdom,,,,11/24/2017
-1166,Culled,35 Högt celltal,,,,2/27/2017
-1167,Open,,,,,
-1168,Culled,,,,,
-1169,Culled,,,,,
-1170,Bred,,,,,
-1171,Culled,02 Nedsatt fruktsamhet,,,,8/9/2018
-1172,Culled,04 Mastit/juverfel,,,,8/9/2018
-1173,Open,,,,,
-1174,Culled,02 Nedsatt fruktsamhet,,,,1/27/2020
-1175,Culled,08 Klövsjukdom,,,,8/9/2018
-1176,Culled,32 Slakt,02 Nedsatt fruktsamhet,,,11/9/2016
-1177,Culled,"52 Avlivad, destruktion",17 Annan sjukdom,,,2/26/2020
-1178,Fresh,,,,,
-1179,Culled,04 Mastit/juverfel,,,,1/27/2020
-1180,Open,,,,,
-1181,Culled,35 Högt celltal,,,,8/10/2020
-1182,Culled,02 Nedsatt fruktsamhet,,,,8/9/2018
-1183,Culled,04 Mastit/juverfel,,,,1/22/2019
-1184,Open,,,,,
-1185,Culled,13 Låg avkastning,02 Nedsatt fruktsamhet,,,11/1/2018
-1186,Culled,"18 Svårmjölkad, exteriör",,,,8/9/2018
-1187,Pregnant,,,,,
-1188,Culled,35 Högt celltal,13 Låg avkastning,,,9/7/2020
-1189,Culled,04 Mastit/juverfel,,,,1/27/2020
-1190,Culled,,,02 Nedsatt fruktsamhet,,
-1191,Culled,13 Låg avkastning,,,,2/14/2018
-1192,Culled,11 Kastning,,,,11/24/2017
-1193,Bred,,,,,
-1194,Culled,02 Nedsatt fruktsamhet,,,,6/3/2019
-1195,Open,,,,,
-1196,Culled,02 Nedsatt fruktsamhet,13 Låg avkastning,,,5/8/2018
-1197,Open,,,,,
-1198,Pregnant,,,,,
-1199,Dry,,,,,
-1200,Pregnant,,,,,
-1201,Pregnant,,,,,
-1202,Culled,04 Mastit/juverfel,,,,1/22/2019
-1203,Bred,,,,,
-1204,Culled,,,,,
-1205,Culled,,,,,
-1206,Culled,,,,,
-1207,Culled,35 Högt celltal,,,,9/7/2020
-1208,Pregnant,,,,,
-1209,Pregnant,,,,,
-1210,Pregnant,,,,,
-1211,Fresh,,,,,
-1212,Fresh,,,,,
-1213,Pregnant,,,,,
-1214,Culled,,,,,
-1215,Fresh,,,,,
-1216,Culled,,,,,
-1217,Culled,04 Mastit/juverfel,,,,1/27/2020
-1218,Fresh,,,,,
-1219,Bred,,,,,
-1220,Culled,,,,,
-1221,Culled,,,,,
-1222,Culled,,,50 Övrig utgångsorsak,,
-1223,Pregnant,,,,,
-1224,Open,,,,,
-1225,Pregnant,,,,,
-1226,Culled,,,50 Övrig utgångsorsak,,
-1227,Culled,"19 Svårmjölkad, nedsläpp",,,,5/8/2018
-1228,Culled,02 Nedsatt fruktsamhet,,,,6/3/2019
-1229,Dry,,,,,
-1230,Culled,,,,,
-1231,Open,,,,,
-1232,Pregnant,,,,,
-1233,Culled,,,,,
-1234,Open,,,,,
-1235,Bred,,,,,
-1236,Pregnant,,,,,
-1237,Pregnant,,,,,
-1238,Pregnant,,,,,
-1239,Culled,04 Mastit/juverfel,,,,11/1/2018
-1240,Bred,,,,,
-1241,Fresh,,,,,
-1242,Culled,35 Högt celltal,,,,9/7/2020
-1243,Culled,02 Nedsatt fruktsamhet,,,,11/1/2018
-1244,Open,,,,,
-1245,Culled,,,,,
-1246,Culled,,,,,
-1247,Culled,,,50 Övrig utgångsorsak,,
-1248,Culled,,,,,
-1249,Open,,,,,
-1250,Dry,,,,,
-1251,Pregnant,,,,,
-1252,Bred,,,,,
-1253,Dry,,,,,
-1254,Pregnant,,,,,
-1255,Culled,,,,,
-1256,Culled,,,,,
-1257,Dry,,,,,
-1258,Dry,,,,,
-1259,Culled,02 Nedsatt fruktsamhet,,,,2/26/2020
-1260,Culled,,,,,
-1261,Pregnant,,,,,
-1262,Culled,,,,,
-1263,Pregnant,,,,,
-1264,Pregnant,,,,,
-1265,Pregnant,,,,,
-1266,Pregnant,,,,,
-1267,Pregnant,,,,,
-1268,Culled,01 Såld till liv,,,,5/16/2017
-1269,Culled,01 Såld till liv,,,,5/16/2017
-1270,Culled,01 Såld till liv,,,,5/16/2017
-1271,Culled,,,,,
-1272,Culled,"18 Svårmjölkad, exteriör",,,,8/10/2020
-1273,Bred,,,,,
-1274,Pregnant,,,,,
-1275,Open,,,,,
-1276,Pregnant,,,,,
-1277,Culled,32 Slakt,50 Övrig utgångsorsak,32 Slakt,,5/8/2018
-1278,Culled,02 Nedsatt fruktsamhet,,,,1/27/2020
-1279,Culled,,,,,
-1280,Pregnant,,,,,
-1281,Open,,,,,
-1282,Culled,,,,,
-1283,Bred,,,,,
-1284,Culled,,,,,
-1285,Bred,,,,,
-1286,Culled,13 Låg avkastning,,,,1/27/2020
-1287,Pregnant,,,,,
-1288,Culled,02 Nedsatt fruktsamhet,,,,2/26/2020
-1289,Culled,"52 Avlivad, destruktion",,,,10/26/2017
-1291,Culled,,,,,
-1292,Dry,,,,,
-1293,Open,,,,,
-1294,Culled,,,,,
-1295,Open,,,,,
-1296,Pregnant,,,,,
-1297,Pregnant,,,,,
-1298,Dry,,,,,
-1299,Dry,,,,,
-1300,Culled,50 Övrig utgångsorsak,,,,8/19/2019
-1301,Open,,,,,
-1302,Open,,,,,
-1303,Dry,,,,,
-1304,Culled,32 Slakt,,,,8/19/2019
-1305,Open,,,,,
-1306,Culled,,,,,
-1307,Pregnant,,,,,
-1308,Pregnant,,,,,
-1309,Bred,,,,,
-1310,Dry,,,,,
-1311,Culled,,,,,
-1312,Pregnant,,,,,
-1313,Culled,01 Såld till liv,,,,3/16/2018
-1314,Culled,01 Såld till liv,,,,3/16/2018
-1315,Culled,32 Slakt,,,,8/19/2019
-1316,Culled,13 Låg avkastning,,,,2/26/2020
-1317,Culled,,,,,
-1318,Culled,,,,,
-1319,Pregnant,,,,,
-1320,Pregnant,,,,,
-1321,Pregnant,,,,,
-1322,Bred,,,,,
-1323,Culled,,,,,
-1324,Pregnant,,,,,
-1325,Culled,32 Slakt,,,,8/19/2019
-1326,Culled,,,,,
-1327,Pregnant,,,,,
-1328,Culled,,,,,
-1329,Culled,,,,,
-1330,Pregnant,,,,,
-1331,Culled,32 Slakt,,,,8/19/2019
-1332,Culled,,,,,
-1333,Pregnant,,,,,
-1334,Culled,,,,,
-1335,Culled,32 Slakt,,,,8/19/2019
-1336,Culled,,,,,
-1337,Culled,,,,,
-1338,Culled,,,,,
-1339,Pregnant,,,,,
-1340,Open,,,,,
-1341,Culled,,,,,
-1342,Bred,,,,,
-1343,Bred,,,,,
-1344,Open,,,,,
-1345,Culled,,,,,
-1346,Culled,,,,,
-1347,Open,,,,,
-1348,Open,,,,,
-1349,Culled,,,,,
-1350,Culled,,,,,
-1351,Fresh,,,,,
-1352,Fresh,,,,,
-1353,Culled,,,,,
-1354,Fresh,,,,,
-1355,Pregnant,,,,,
-1356,Pregnant,,,,,
-1357,Fresh,,,,,
-1358,Culled,32 Slakt,,,,9/7/2020
-1359,Pregnant,,,,,
-1360,Culled,,,,,
-1361,Culled,32 Slakt,,,,9/7/2020
-1362,Culled,32 Slakt,,,,9/7/2020
-1363,Culled,,,,,
-1364,Culled,"52 Avlivad, destruktion",17 Annan sjukdom,,,5/30/2019
-1365,Culled,,,,,
-1366,Pregnant,,,,,
-1367,Pregnant,,,,,
-1368,Pregnant,,,,,
-1369,Culled,,,,,
-1370,Culled,,,,,
-1371,Culled,,,,,
-1372,Pregnant,,,,,
-1373,Pregnant,,,,,
-1374,Pregnant,,,,,
-1375,Culled,Death,,,,4/23/2019
-1375,Culled,32 Slakt,,,,9/7/2020
